NM_MUNICIPIO,NR_ZONA,NR_LOCAL_VOTACAO,NM_LOCAL_VOTACAO,DS_ENDERECO,NM_BAIRRO,DS_TIPO_LOCAL,NR_LATITUDE,NR_LONGITUDE,QT_ELEITORES,QT_SECOES
BELO HORIZONTE,30,1104,CENTRO DE ATIVIDADES DO SESC/ MG,"RUA SANTA QUITÉRIA, 566",CARLOS PRATES,Convencional,-19.9141888,-43.9653186,1119,3
BELO HORIZONTE,30,1112,PROVÍNCIA SANTA CLARA COLÉGIO FRANCISCANO SAGRADA FAMÍLIA,"AVENIDA PRESIDENTE CARLOS LUZ, 535",CAIÇARA,Convencional,-19.9027929,-43.9663524,6306,19
BELO HORIZONTE,30,1120,COLEGUIUM UNIDADE CARLOS PRATES,"RUA SABINÓPOLIS, 50",CARLOS PRATES,Convencional,,,3976,11
BELO HORIZONTE,30,1139,COLÉGIO PEDRO II,"RUA AREADO, 437",CARLOS PRATES,Convencional,-19.9094906,-43.9636745,1249,4
BELO HORIZONTE,30,1155,ESCOLA ESTADUAL LÚCIO DOS SANTOS,"RUA PADRE EUSTÁQUIO, 16",CARLOS PRATES,Convencional,-19.9149578,-43.9541859,5063,13
BELO HORIZONTE,30,1163,ESCOLA ESTADUAL MELO VIANA,"RUA BOM SUCESSO, 345",CARLOS PRATES,Convencional,-19.912698,-43.964585,1530,5
BELO HORIZONTE,30,1171,ESCOLA MUNICIPAL MONSENHOR ARTUR DE OLIVEIRA,"RUA FORNACIARI, 157",CAIÇARA,Convencional,-19.9061425,-43.9650799,1894,4
BELO HORIZONTE,30,1198,SESC-CDCCP - SERVICO SOCIAL DO COMERCIO,"RUA TEÓFILO OTONI, 433",CARLOS PRATES,Convencional,,,1607,5
BELO HORIZONTE,30,1201,"INSTITUTO CULTURAL NEWTON PAIVA FERREIRA LTDA, Nº 220","AVENIDA PRESIDENTE CARLOS LUZ, 220",CAIÇARA,Convencional,-19.9059281,-43.9635312,6561,15
BELO HORIZONTE,30,1210,ESCOLA ESTADUAL CAIO NELSON DE SENA,"RUA ENGENHO DE DENTRO, 887",ALTO CAIÇARAS,Convencional,-19.9015307,-43.9712159,4270,10
BELO HORIZONTE,30,1228,ESCOLA ESTADUAL FRANCISCO BRANT,"AV ANTÔNIO PEIXOTO GUIMARÃES, 165",CAIÇARA,Convencional,-19.9113867,-43.9746271,6667,14
BELO HORIZONTE,30,1236,ESCOLA ESTADUAL PADRE EUSTÁQUIO,"RUA CESÁRIO ALVIM, 927",PADRE EUSTÁQUIO,Convencional,-19.9143973,-43.9746271,5741,13
BELO HORIZONTE,30,1260,ESCOLA ESTADUAL ELISEU LABORNE E VALE,AV. PANDIÁ CALÓGERAS C/ ALÍPIO DE MELO,JARDIM MONTANHÊS,Convencional,-19.9056203,-43.9836473,3899,10
BELO HORIZONTE,30,1279,ESCOLA ESTADUAL PROFESSOR MORAIS,"RUA CORNÉLIO CERQUEIRA, 475",PADRE EUSTÁQUIO,Convencional,-19.9130059,-43.9878607,3618,11
BELO HORIZONTE,30,1287,ESCOLA ESTADUAL SILVIANO BRANDÃO,"RUA ITAPECERICA, 685",LAGOINHA,Convencional,-19.9076514,-43.9453563,4785,18
BELO HORIZONTE,30,1309,ESCOLA ESTADUAL TOMÁS BRANDÃO,"PRACA BOM JESUS, 134",BOM JESUS,Convencional,,,5353,15
BELO HORIZONTE,30,1317,ESCOLA MUNICIPAL  DE BELO HORIZONTE - (E.M.CARLOS GOIS),"AV. JOSÉ BONIFÁCIO, 189",SÃO CRISTÓVÃO,Convencional,,,4309,12
BELO HORIZONTE,30,1325,ESCOLA MUNICIPAL HONORINA DE BARROS,CONJUNTO IAPI  - PRAÇA  PROF. CORREA NETO S/N,SÃO CRISTÓVÃO,Convencional,-19.9015885,-43.946636,2532,6
BELO HORIZONTE,30,1350,ESCOLA ESTADUAL PROF. RICARDO DE SOUZA CRUZ,"RUA GONÇALO LAÇO, 120",SANTO ANDRÉ,Convencional,-19.9028542,-43.9591554,4726,13
BELO HORIZONTE,30,1368,ESCOLA ESTADUAL SANTOS ANJOS,"RUA CATUMBI, 421",CAIÇARA,Convencional,,,4322,12
BELO HORIZONTE,30,1376,ESCOLA MUNICIPAL ARTHUR GUIMARÃES,"AVENIDA AMÉRICO VESPÚCIO,  1610",NOVA ESPERANÇA,Convencional,-19.8981395,-43.9615885,3203,8
BELO HORIZONTE,30,1392,NONA IGREJA PRESBITERIANA DE BELO HORIZONTE,"RUA ANDRE DE MELO CASTRO, 80",NOVA CACHOEIRINHA,Convencional,,,969,2
BELO HORIZONTE,30,1406,ESCOLA ESTADUAL PROF. ALCINDO VIEIRA,"PRAÇA BERNARDO DA VEIGA, S/N",ERMELINDA,Convencional,-19.8832251,-43.958694,4472,10
BELO HORIZONTE,30,1414,ESCOLA MUNICIPAL PROF. CLÁUDIO BRANDÃO,"RUA CANTAGALO, 1147",APARECIDA,Convencional,,,2502,7
BELO HORIZONTE,30,1422,ESCOLA MUNICIPAL NOSSA SENHORA DO AMPARO,"RUA HESPÉRIA, 300",APARECIDA,Convencional,-19.8894651,-43.9510696,2925,8
BELO HORIZONTE,30,1449,ESCOLA ESTADUAL PRINCESA ISABEL,"RUA SANTA JUDITH, 565",APARECIDA,Convencional,,,6479,15
BELO HORIZONTE,30,1457,ESCOLA MUNICIPAL CORNÉLIO VAZ DE MELO,"RUA LEOPOLDINO DE OLIVEIRA,  231",APARECIDA,Convencional,-19.8945904,-43.9578519,2410,5
BELO HORIZONTE,31,1015,ESCOLA ESTADUAL PROF. ALISSON PEREIRA GUIMARAES,"RUA DOS ECONOMISTAS   , 612 ",ALÍPIO DE MELO,Convencional,-19.8888272,-44.005171,7850,20
BELO HORIZONTE,31,1023,ESCOLA MUNICIPAL JÚLIA PARAÍSO,RUA TIÊS ESQUINA COM LEONIL PRATA SN,ALÍPIO DE MELO,Convencional,-19.895883,-44.00605,5615,16
BELO HORIZONTE,31,1031,ESCOLA ESTADUAL MADRE CARMELITA,"AV. ANTÔNIO FRANCISCO LISBOA, 500",BANDEIRANTES (PAMPULHA),Convencional,-19.8581152,-44.0027,5260,12
BELO HORIZONTE,31,1058,COLÉGIO BATISTA MINEIRO - UNIDADE CASTELO,"AV. HERÁCLITO MOURÃO DE MIRANDA, 2930 (ANTIGA AV. ATLÂNTIDA)",CASTELO,Convencional,-19.8713792,-43.998527,3550,9
BELO HORIZONTE,31,1090,ESCOLA ESTADUAL GUIA LOPES,"RUA BARÃO DE CAMARGOS  , 88",JARDIM INCONFIDÊNCIA,Convencional,-19.9086302,-43.994645,5035,11
BELO HORIZONTE,31,1104,ESCOLA MUNICIPAL MARIA DE MAGALHÃES PINTO,"RUA SENADOR VIRGÍLIO TAVARA, 155",ITATIAIA/SANTA TEREZINHA,Convencional,-19.8750859,-44.006344,6826,14
BELO HORIZONTE,31,1112,ESCOLA ESTADUAL BENVINDA DE CARVALHO,"RUA FLOR DAS COBRAS, 100",JARDIM ALVORADA,Convencional,-19.9023137,-43.985635,6009,13
BELO HORIZONTE,31,1120,ESCOLA ESTADUAL MANOEL COSTA,"RUA HORÁCIO TERENA GUIMARÃES, 495",TREVO,Convencional,-19.8262617,-44.009516,4506,10
BELO HORIZONTE,31,1139,ESCOLA ESTADUAL FRANCISCO MENEZES FILHO,"RUA JOÃO ANTÔNIO CARDOSO  , 318",OURO PRETO,Convencional,-19.8735755,-43.982994,5724,12
BELO HORIZONTE,31,1147,ESCOLA MUNICIPAL CARMELITA CARVALHO GARCIA,"RUA ALUÍZIO DAVIS, 53",OURO PRETO,Convencional,-19.885674,-43.987043,4116,9
BELO HORIZONTE,31,1171,COLÉGIO SANTA MARCELINA,ALAMEDA DAS FALCATAS 505,SÃO LUIZ (PAMPULHA),Convencional,-19.8577142,-43.966498,4997,11
BELO HORIZONTE,31,1180,ESCOLA MUNICIPAL DOM ORIONE,"AV EXPEDICIONÁRIO BENVINDO BELÉM DE LIMA, 500",OURO PRETO,Convencional,-19.8677201,-43.978664,7701,16
BELO HORIZONTE,31,1201,ESCOLA MUNICIPAL FRANCISCA ALVES,"AV. SANTA TEREZINHA  , S/N",ITATIAIA/SANTA TEREZINHA,Convencional,-19.8679603,-43.996862,4265,12
BELO HORIZONTE,31,1236,COLÉGIO ADVENTISTA DE BELO HORIZONTE,"RUA AVEIRO, 367",SÃO FRANCISCO,Convencional,-19.8786345,-43.961055,1359,6
BELO HORIZONTE,31,1244,ESCOLA ESTADUAL PROFESSOR AFONSO NEVES,"RUA GUIMARÃES, 900",SÃO FRANCISCO,Convencional,-19.880319,-43.961042,1739,7
BELO HORIZONTE,31,1260,ESCOLA ESTADUAL EUZÉBIO DIAS BICALHO,"AV. SERRANA, 75",SERRANO,Convencional,-19.8847557,-44.012713,4278,11
BELO HORIZONTE,31,1279,ESCOLA MUNICIPAL PROFESSORA ALICE NACIF,"RUA EXP. PAULO DE SOUZA, 721",URCA/SERRANO,Convencional,-19.8670444,-44.015599,8616,18
BELO HORIZONTE,31,1287,ESCOLA ESTADUAL URSULINA ANDRADE MELO,"RUA FLOR DE VIDRO, 251",JARDIM ALVORADA,Convencional,-19.8993304,-43.991073,3656,8
BELO HORIZONTE,31,1295,ESCOLA MUNICIPAL IGNÁCIO DE ANDRADE MELO,"RUA VIOLETA DE MELO, 988",JARDIM INCONFIDÊNCIA,Convencional,-19.9006248,-43.9981,4270,12
BELO HORIZONTE,31,1309,ESCOLA MUNICIPAL SANTA TEREZINHA,"RUA CONCEIÇÃO APARECIDA, 400",ITATIAIA/SANTA TEREZINHA,Convencional,-19.8710685,-44.001177,7449,16
BELO HORIZONTE,31,1325,COLEGUIUM - UNIDADE OURO PRETO,"RUA CARLOS FREDERICO CAMPOS, 630",OURO PRETO,Convencional,-19.8736389,-43.979491,5328,11
