CD_SETOR,bairro,situacao,distrito,fonte_nome
310620005620313,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620314,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620315,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620316,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620317,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620318,Cidade Jardim,Urbana,Belo Horizonte,IBGE
310620005620319,Cidade Jardim,Urbana,Belo Horizonte,IBGE
310620005620320,Santo Agostinho,Urbana,Belo Horizonte,IBGE
310620005620321,Santo Agostinho,Urbana,Belo Horizonte,IBGE
310620005620322,Santo Agostinho,Urbana,Belo Horizonte,IBGE
310620005620323,Santo Agostinho,Urbana,Belo Horizonte,IBGE
310620005620325,Barro Preto,Urbana,Belo Horizonte,IBGE
310620005620326,Barro Preto,Urbana,Belo Horizonte,IBGE
310620005620327,Barro Preto,Urbana,Belo Horizonte,IBGE
310620005620328,Barro Preto,Urbana,Belo Horizonte,IBGE
310620005620330,Centro,Urbana,Belo Horizonte,IBGE
310620005620331,Centro,Urbana,Belo Horizonte,IBGE
310620005620332,Santa Lúcia,Urbana,Belo Horizonte,IBGE
310620005620334,Santa Lúcia,Urbana,Belo Horizonte,IBGE
310620005620336,São Bento,Urbana,Belo Horizonte,IBGE
310620005620337,Santa Lúcia,Urbana,Belo Horizonte,IBGE
310620005620339,São Bento,Urbana,Belo Horizonte,IBGE
310620005620340,Vila Paris,Urbana,Belo Horizonte,IBGE
310620005620341,Vila Paris,Urbana,Belo Horizonte,IBGE
310620005620342,Vila Paris,Urbana,Belo Horizonte,IBGE
310620005620343,Coração de Jesus,Urbana,Belo Horizonte,IBGE
310620005620344,Coração de Jesus,Urbana,Belo Horizonte,IBGE
310620005620345,Coração de Jesus,Urbana,Belo Horizonte,IBGE
310620005620346,Coração de Jesus,Urbana,Belo Horizonte,IBGE
310620005620347,Coração de Jesus,Urbana,Belo Horizonte,IBGE
310620005620348,Coração de Jesus,Urbana,Belo Horizonte,IBGE
310620005620349,Cidade Jardim,Urbana,Belo Horizonte,IBGE
310620005620350,Santo Agostinho,Urbana,Belo Horizonte,IBGE
310620005620351,Santo Agostinho,Urbana,Belo Horizonte,IBGE
310620005620352,Santo Agostinho,Urbana,Belo Horizonte,IBGE
310620005620358,Belvedere,Urbana,Belo Horizonte,IBGE
310620005620359,Belvedere,Urbana,Belo Horizonte,IBGE
310620005620360,Belvedere,Urbana,Belo Horizonte,IBGE
310620005620361,Belvedere,Urbana,Belo Horizonte,IBGE
