NR_ZONA;NR_LOCAL_VOTACAO;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO;QT_VOTOS_NOMINAIS;QT_VOTOS_LOHANNA
30;1210;ESCOLA ESTADUAL CAIO NELSON DE SENA;RUA ENGENHO DE DENTRO, 887;2819;30
30;1228;ESCOLA ESTADUAL FRANCISCO BRANT;AV ANTÔNIO PEIXOTO GUIMARÃES, 165;4253;25
30;1236;ESCOLA ESTADUAL PADRE EUSTÁQUIO;RUA CESÁRIO ALVIM, 927;3615;27
30;1260;ESCOLA ESTADUAL ELISEU LABORNE E VALE;AV. PANDIÁ CALÓGERAS C/ ALÍPIO DE MELO;2441;18
30;1279;ESCOLA ESTADUAL PROFESSOR MORAIS;RUA CORNÉLIO CERQUEIRA, 475;2248;23
30;1287;ESCOLA ESTADUAL SILVIANO BRANDÃO;RUA ITAPECERICA, 685;2729;11
30;1309;ESCOLA ESTADUAL TOMÁS BRANDÃO;PRACA BOM JESUS, 134;3222;15
30;1317;ESCOLA MUNICIPAL  DE BELO HORIZONTE - (E.M.CARLOS GOIS);AV. JOSÉ BONIFÁCIO, 189;2545;8
30;1325;ESCOLA MUNICIPAL HONORINA DE BARROS;CONJUNTO IAPI  - PRAÇA  PROF. CORREA NETO S/N;1493;10
30;1350;ESCOLA ESTADUAL PROF. RICARDO DE SOUZA CRUZ;RUA GONÇALO LAÇO, 120;2760;12
30;1368;ESCOLA ESTADUAL SANTOS ANJOS;RUA CATUMBI, 421;2671;20
30;1376;ESCOLA MUNICIPAL ARTHUR GUIMARÃES;AVENIDA AMÉRICO VESPÚCIO,  1610;1994;8
30;1392;NONA IGREJA PRESBITERIANA DE BELO HORIZONTE;RUA ANDRE DE MELO CASTRO, 80;565;1
30;1406;ESCOLA ESTADUAL PROF. ALCINDO VIEIRA;PRAÇA BERNARDO DA VEIGA, S/N;2840;9
30;1414;ESCOLA MUNICIPAL PROF. CLÁUDIO BRANDÃO;RUA CANTAGALO, 1147;1627;8
30;1422;ESCOLA MUNICIPAL NOSSA SENHORA DO AMPARO;RUA HESPÉRIA, 300;1736;0
